model,scenario,runs,distance_km,hop_count,p50_latency_ms,p95_latency_ms,p99_latency_ms,cvar99_latency_ms,sla_breach_rate,p50_decision_latency_ms,p95_decision_latency_ms,p99_decision_latency_ms,cvar99_decision_latency_ms
"Baseline.Fiber","DFW-NYC",4000,8000,12,41.800000,41.800000,41.800000,41.800000,0.000000,41.800000,41.800000,41.800000,41.800000
"Baseline.Internet","DFW-NYC",4000,8000,12,55.199550,57.650423,58.709751,59.143046,0.000000,55.199550,57.650423,58.709751,59.143046
"Baseline.LEOPath","DFW-NYC",4000,8000,12,41.666667,49.666667,89.666667,89.666667,0.014750,41.666667,49.666667,89.666667,89.666667
"LEOQ.PolicyRouter.lambda=1","DFW-NYC",4000,8000,12,43.666667,46.866667,51.666667,63.736667,0.002750,43.666667,46.866667,51.666667,63.736667
"LEOQ.PolicyRouter.lambda=2","DFW-NYC",4000,8000,12,43.666667,46.866667,51.666667,63.736667,0.002750,43.666667,46.866667,51.666667,63.736667
"LEOQ.PolicyRouter.lambda=3","DFW-NYC",4000,8000,12,43.666667,46.866667,51.666667,63.736667,0.002750,43.666667,46.866667,51.666667,63.736667
"LEOQ.PolicyRouter.lambda=5","DFW-NYC",4000,8000,12,43.666667,46.866667,51.666667,63.736667,0.002750,43.666667,46.866667,51.666667,63.736667
"LEOQ.PolicyRouter.lambda=8","DFW-NYC",4000,8000,12,43.666667,46.866667,51.666667,63.736667,0.002750,43.666667,46.866667,51.666667,63.736667
