model,scenario,runs,distance_km,hop_count,p50_latency_ms,p95_latency_ms,p99_latency_ms,cvar99_latency_ms,sla_breach_rate,p50_decision_latency_ms,p95_decision_latency_ms,p99_decision_latency_ms,cvar99_decision_latency_ms
"Baseline.Fiber","DFW-NYC",3000,2200,12,12.800000,12.800000,12.800000,12.800000,0.000000,12.800000,12.800000,12.800000,12.800000
"Baseline.Internet","DFW-NYC",3000,2200,12,26.199165,28.650369,29.690391,30.132961,0.005333,26.199165,28.650369,29.690391,30.553397
"Baseline.LEOPath","DFW-NYC",3000,2200,12,21.366667,29.366667,29.366667,29.366667,0.000000,21.366667,29.366667,29.366667,29.366667
"LEOQ.PolicyRouter","DFW-NYC",3000,2200,12,23.366667,26.566667,31.366667,32.113333,0.012000,23.366667,26.566667,34.100000,36.340000
