model,scenario,runs,distance_km,hop_count,p50_latency_ms,p95_latency_ms,p99_latency_ms
"Baseline.Fiber","DFW-NYC",2000,2200,12,12.800000,12.800000,12.800000
"Baseline.Internet","DFW-NYC",2000,2200,12,26.198716,28.643999,29.663521
"Baseline.LEOPath","DFW-NYC",2000,2200,12,21.366667,29.366667,29.366667
"LEOQ.PolicyRouter.lambda=0.5","DFW-NYC",2000,2200,12,21.366667,29.366667,32.566667
"LEOQ.PolicyRouter.lambda=1","DFW-NYC",2000,2200,12,21.366667,29.366667,32.566667
"LEOQ.PolicyRouter.lambda=2","DFW-NYC",2000,2200,12,23.366667,26.566667,31.366667
"LEOQ.PolicyRouter.lambda=3","DFW-NYC",2000,2200,12,23.366667,26.566667,31.366667
"LEOQ.PolicyRouter.lambda=5","DFW-NYC",2000,2200,12,23.366667,26.566667,31.366667
